demand,rung,cost_musd,p_shed,ens_mwh,p_at_limit,mean_lines_at_limit,solve_s
v1,lp,689.0544734065094,0.0,0.0,92.22602739726027,0.9276255707762557,12.017532110214233
v1,pmin,693.716457751933,0.0,0.0,69.16666666666667,0.6970319634703196,54.836166858673096
v1,ramp,689.6170222112249,0.5821917808219178,37.428019288859524,85.79908675799086,0.8634703196347032,566.059415102005
v1,full,690.7221790168228,0.4452054794520548,28.87567375002006,52.78538812785388,0.5327625570776255,423.2657389640808
v2,lp,687.4075756429285,0.0,0.0,92.8082191780822,0.9305936073059361,7.806915044784546
v2,pmin,691.658587003994,0.0,0.0,58.50456621004566,0.5850456621004566,45.067983865737915
v2,ramp,687.8021104324812,0.639269406392694,39.73735034360712,86.55251141552512,0.867579908675799,616.2646198272705
v2,full,688.9491231013808,0.1598173515981735,10.053287299566483,49.817351598173516,0.4988584474885845,478.301011800766
v3,lp,688.5366525883378,0.0,0.0,94.77168949771689,0.9515981735159817,12.273447036743164
v3,pmin,693.3051620763973,0.0,0.0,58.926940639269404,0.5931506849315068,35.14374303817749
v3,ramp,689.046696983178,0.6050228310502284,33.79028624535209,90.36529680365297,0.9077625570776255,427.3472969532013
v3,full,689.8428428995315,0.2054794520547945,11.67421264502044,62.65981735159817,0.630593607305936,339.57178592681885
