experiment,network,scenarios,capacity_mw,deliverable_mw,design_mean_mw,realised_mean_mw,demand_cv,p_expensive_on,p_shed,expected_shed_mw,ens_pct,p_any_at_limit,mean_lines_at_limit,mean_cost_usd,p95_cost_usd,mean_lmp_spread_served
Q2 IEEE-14 Exp(1) @ Oʻahu utilisation,IEEE 14-bus,10000,772.4,575.1156220260899,380.9804863105911,380.28345716183964,0.4441888133462497,0.5963,0.4158,31.539909325571656,8.29378946982409,0.6095,1.3932,7784.943687434504,13882.110475453012,25.995534895286283
Q3 Oʻahu Exp(1) @ real mean,Oʻahu 9-bus,10000,1508.1000000000001,1081.991085899015,743.8589738542238,734.7962631600531,0.5320145546792648,0.0548,0.1977,56.79639595006964,7.729543384694414,0.584,0.8312,73358.42991601946,144234.64607946188,32.2877578164155
Q3 Oʻahu empirical bootstrap,Oʻahu 9-bus,10000,1508.1000000000001,1081.991085899015,743.8589738542238,747.4292514028,0.167766129051892,0.0,0.0,0.0,0.0,0.9251,0.9312,79141.3886411035,109742.88272608531,27.01470411632458
