scen,demand_mw,shed_mw,shed,cost_usd,lmp_at_slack,n_at_limit,lmp_spread,expensive_on
1,775.366108283435,0.0,false,82876.48011946715,133.66390026759288,1,8.899476829419186,false
2,865.6454784302146,0.0,false,95310.14089004551,133.66390206508962,1,8.899479030700292,false
3,498.8125013970937,0.0,false,46362.839398150754,126.39686700000024,0,2.7000623958883807e-13,false
4,431.2155333593131,0.0,false,37818.79482505798,126.39686600000022,0,2.8421709430404007e-13,false
5,970.9926725222543,29.99430416672265,true,128605.73691826106,3896.8742476908847,1,9873.603135000001,true
6,1130.926228549813,25.15989813145455,true,149431.89011636935,3896.8742489271335,1,9873.603133000002,true
7,350.4290255129714,0.0,false,27607.633822128526,126.39686500000022,0,2.2737367544323206e-13,false
8,1099.9561859733358,0.0,false,136993.3527704507,397.36455352043714,1,331.8370622302672,false
9,249.22183170259393,0.0,false,16538.157646357602,96.05429600000005,0,1.1368683772161603e-13,false
10,490.5399206069176,0.0,false,45317.21115390366,126.39686700000027,0,3.268496584496461e-13,false
11,1310.815237953159,193.0543896772454,true,139196.9219657988,9969.473194284099,2,9903.945703999998,false
12,729.2844720777814,0.0,false,76493.98491805737,137.08524119981325,1,27.98922906106978,false
13,753.535957103277,0.0,false,80300.01673034069,137.0852441654589,1,27.989239445753043,false
14,491.1041872690198,0.0,false,45388.53268876037,126.39686700000058,0,5.968558980384842e-13,false
15,763.3162774691715,0.0,false,81154.3648767619,133.66390026759316,1,8.89947682941957,false
16,515.2261025194294,0.0,false,48437.46705772036,126.39686700000058,0,5.968558980384842e-13,false
17,1091.8234605060304,0.0,false,134839.3482805785,253.22601783060355,1,332.1225840328801,false
18,535.5720034354613,0.0,false,51009.12506772361,126.39686700000058,0,5.968558980384842e-13,false
19,1630.2866892084326,512.9330949727891,true,138288.4631254531,10000.0,3,9873.603132,false
20,463.5579245469353,0.0,false,41906.77154840749,126.39686700000004,0,5.684341886080802e-14,false
21,357.8361921950335,0.0,false,28543.87643964494,126.39686500000008,0,1.1368683772161603e-13,false
22,597.555637387858,0.0,false,58966.430556791835,133.6638975713475,1,8.899473527497605,false
23,1189.3448771911333,92.13757992403693,true,148350.05519285495,10000.0,3,9873.603133,true
24,795.0752676348917,0.0,false,85016.0167560937,133.66390036884422,1,8.899475728778697,false
25,502.9201018791549,0.0,false,46882.02720532539,126.3968670000001,0,9.947598300641403e-14,false
