experiment,network,scenarios,capacity_mw,deliverable_mw,design_mean_mw,realised_mean_mw,demand_cv,p_expensive_on,p_shed,expected_shed_mw,ens_pct,p_any_at_limit,mean_lines_at_limit,mean_cost_usd,p95_cost_usd,mean_lmp_spread_served
A · independent Exp(1),Oʻahu 9-bus,10000,1508.1000000000001,1081.991085899015,743.8589738542238,734.7962631600531,0.5320145546792648,0.0548,0.1977,56.79639595006964,7.729543384694414,0.584,0.8312,73358.42991601946,144234.64607946188,32.2877578164155
"B · correlated Exp(1), rho=0.7",Oʻahu 9-bus,10000,1508.1000000000001,1081.991085899015,743.8589738542238,739.7733742182738,0.7079098062744753,0.052,0.1953,85.41284336422405,11.545812047436916,0.5105,0.7768,70476.2773000276,146174.932545808,32.63554006963023
C · empirical bootstrap (real),Oʻahu 9-bus,10000,1508.1000000000001,1081.991085899015,743.8589738542238,747.4292514028,0.167766129051892,0.0,0.0,0.0,0.0,0.9251,0.9312,79141.3886411035,109742.88272608531,27.01470411632458
