scen,demand_mw,shed_mw,shed,cost_usd,lmp_at_slack,n_at_limit,lmp_spread,expensive_on
1,494.7602435574067,40.99816064082388,true,11075.24165833164,20.000001,3,13215.385803055708,true
2,334.30655435948427,14.199085635828112,true,9154.207003770149,20.000001,3,10007.8586335466,true
3,389.43828687846155,0.0,false,9010.389410999263,20.000001,2,134.83282993190969,true
4,572.4960809780188,54.29191377138206,true,11539.627394917123,22.84723004819113,5,9979.999998,true
5,159.07397876539687,0.0,false,3181.47957530793,20.000001000000015,0,6.750155989720952e-14,false
6,553.2030777060003,6.585292745229172,true,12910.464811625827,20.000001000002744,6,14876.308401183907,true
7,340.5050395040516,0.0,false,6810.100790081018,20.000002000000038,0,3.552713678800501e-14,false
8,523.6948047893038,24.820696382518427,true,10924.565494810364,20.262676984086095,5,13788.250405194805,true
9,251.06332766772138,0.0,false,5021.266553354416,20.000001,0,6.750155989720952e-14,false
10,241.5434975048779,0.0,false,4830.869950097546,20.000001,0,6.750155989720952e-14,false
11,200.58357498977156,0.0,false,4011.67149979542,20.000001,0,6.750155989720952e-14,false
12,383.5380372077781,0.0,false,9851.865643569623,20.00000099999999,2,110.18185141263153,true
13,249.01524376759755,0.0,false,4980.304875351936,20.000001,0,6.750155989720952e-14,false
14,626.637122785059,85.07352267159065,true,12831.27200226935,20.00000099999989,1,13208.144920053976,true
15,401.1702220527428,17.66593375743149,true,10170.085765906217,20.00000100000011,2,11767.866277474126,true
16,265.69857753986355,0.0,false,5326.687131830351,20.00000099999999,2,43.255856825348914,true
17,419.4210218205683,0.0,false,8388.420436411348,20.00000200000004,0,8.171241461241152e-14,false
18,425.363359338322,0.5838272131096928,true,10995.590642504234,20.00000099999999,2,11767.86627747412,true
19,347.114573982743,0.0,false,6942.291479654843,20.00000200000006,0,1.2079226507921703e-13,false
20,283.38490109880934,0.0,false,5667.698021976174,20.000000999999994,0,6.394884621840902e-14,false
21,612.3364371500672,222.47169769447746,true,9797.294789111784,20.00000099999989,1,13208.144920053976,true
22,338.639801816658,0.0,false,6772.796036333148,20.00000200000006,0,1.2079226507921703e-13,false
23,176.4701053126922,0.0,false,3529.4021062538327,20.000000999999994,0,6.394884621840902e-14,false
24,392.43748335805685,51.56502234045357,true,7161.627427781851,20.000001,4,9981.673954726646,true
25,354.1350314577232,0.0,false,7082.700629154459,20.000002000000006,0,4.263256414560601e-14,false
26,409.70773919549754,0.0,false,8194.154783909946,20.000002000000006,0,4.263256414560601e-14,false
27,247.39558868662306,20.07087170416924,true,6181.062816205063,20.000001000000005,2,9996.958895646778,true
28,231.28650648422132,0.0,false,4625.730129684421,20.000001,0,3.907985046680551e-14,false
29,289.7228571031667,8.433701285486489,true,5813.953532673771,20.000001,2,9996.958895646776,true
30,430.3935771033913,15.725020925265712,true,9066.491864056628,20.00000099999933,4,10996.468110601309,true
31,486.51566212267255,36.39769370188867,true,9500.101234401165,20.26267698408436,3,9996.473484952816,true
