mode,total_cost_usd,generation_cost_usd,transport_cost_usd,unserved_mwh
copper,117912.858368917,117912.858368917,0.0,0.0
transport,123751.40551337048,122256.79667339707,1494.6088399734035,0.0
dcopf,131689.71749878986,130150.06377159996,1539.6537271899288,0.0
