hour,window_hour,branch,from_bus,to_bus,flow_mw,limit_mw,loading
6331,1,1,Kahe,Ewa-West,42.95919551913246,400.0,0.10739798879783115
6331,1,2,Kahe,Waianae,200.0,200.0,1.0
6331,1,3,Ewa-West,Ewa-Central,317.7320857625724,400.0,0.794330214406431
6331,1,4,Ewa-Central,Honolulu,413.0598736140029,600.0,0.6884331226900049
6331,1,5,Honolulu,Koolaupoko,-7.28633207024104,200.0,0.0364316603512052
6331,1,6,Waianae,Waialua,146.105297843852,200.0,0.7305264892192599
6331,1,7,Waialua,Wahiawa,-23.742283008049043,200.0,0.11871141504024521
6331,1,8,Wahiawa,Ewa-Central,-66.95630154016904,400.0,0.1673907538504226
6331,1,9,Waialua,Koolauloa,155.77745908245302,200.0,0.7788872954122651
6331,1,10,Koolauloa,Koolaupoko,133.06558786416903,200.0,0.6653279393208451
