hour,window_hour,branch,from_bus,to_bus,flow_mw,limit_mw,loading
6313,1,1,Kahe,Ewa-West,96.712712337977,400.0,0.24178178084494248
6313,1,2,Kahe,Waianae,178.916464662023,200.0,0.894582323310115
6313,1,3,Ewa-West,Ewa-Central,381.288294515237,400.0,0.9532207362880925
6313,1,4,Ewa-Central,Honolulu,273.1984440220826,600.0,0.4553307400368043
6313,1,5,Honolulu,Koolaupoko,-15.194327867118389,200.0,0.07597163933559195
6313,1,6,Waianae,Waialua,141.940176224606,200.0,0.70970088112303
6313,1,7,Waialua,Wahiawa,15.215189809972609,200.0,0.07607594904986305
6313,1,8,Wahiawa,Ewa-Central,-14.43325335525739,400.0,0.03608313338814348
6313,1,9,Waialua,Koolauloa,117.0717021383914,200.0,0.585358510691957
6313,1,10,Koolauloa,Koolaupoko,101.4894525382804,200.0,0.5074472626914021
6314,2,1,Kahe,Ewa-West,70.9026279202252,400.0,0.177256569800563
6314,2,2,Kahe,Waianae,166.3975030797748,200.0,0.831987515398874
6314,2,3,Ewa-West,Ewa-Central,356.6135164400052,400.0,0.891533791100013
6314,2,4,Ewa-Central,Honolulu,259.4640814963785,600.0,0.43244013582729757
6314,2,5,Honolulu,Koolaupoko,-13.646401475024458,200.0,0.06823200737512229
6314,2,6,Waianae,Waialua,131.3806338029238,200.0,0.656903169014619
6314,2,7,Waialua,Wahiawa,12.113721028354332,200.0,0.06056860514177166
6314,2,8,Wahiawa,Ewa-Central,-15.963614541335668,400.0,0.03990903635333917
6314,2,9,Waialua,Koolauloa,110.12516794624348,200.0,0.5506258397312174
6314,2,10,Koolauloa,Koolaupoko,95.36864098411048,200.0,0.47684320492055243
6315,3,1,Kahe,Ewa-West,74.7206868807576,400.0,0.18680171720189398
6315,3,2,Kahe,Waianae,158.1193131192424,200.0,0.790596565596212
6315,3,3,Ewa-West,Ewa-Central,334.09250408855763,400.0,0.835231260221394
6315,3,4,Ewa-Central,Honolulu,247.58038907341356,600.0,0.4126339817890226
6315,3,5,Honolulu,Koolaupoko,-12.87521400411645,200.0,0.06437607002058225
6315,3,6,Waianae,Waialua,124.72498967123241,200.0,0.623624948356162
6315,3,7,Waialua,Wahiawa,11.123308969165924,200.0,0.05561654484582962
6315,3,8,Wahiawa,Ewa-Central,-15.653031832734074,400.0,0.039132579581835185
6315,3,9,Waialua,Koolauloa,104.88352885180647,200.0,0.5244176442590324
6315,3,10,Koolauloa,Koolaupoko,90.81076208197648,200.0,0.4540538104098824
