rating_mw,congestion_usd,loopflow_usd,total_gap_usd,unserved_mwh
400.0,3478.4517150163447,588.4693749087746,4066.9210899251193,0.0
350.0,3478.4517150163447,588.4693749087746,4066.9210899251193,0.0
300.0,3478.4517150163447,588.4693749087746,4066.9210899251193,0.0
250.0,3549.099399938059,517.8216899870604,4066.9210899251193,0.0
200.0,5838.547144453478,7938.311985419379,13776.859129872857,0.0
180.0,7701.542264453485,255603.6944186351,263305.2366830886,25.205418345971466
160.0,9564.537384453477,517219.4918077558,526784.0291922092,51.80970836852184
140.0,11427.53250445344,970510.711204035,981938.2437084884,97.77324247398514
120.0,13305.816507914526,1.668341468371717e6,1.6816472848796316e6,168.42261777764472
100.0,172132.06148422317,3.4929194143915395e6,3.6650514758757628e6,370.3812320385852
